,file,local_path,abstract
24,Chunyang_Chen__Zhenchang_Xing__and_Yang_Liu__By_the_Community___For_the_Community__A_Deep_Learning_A,2017/Chunyang_Chen__Zhenchang_Xing__and_Yang_Liu__By_the_Community___For_the_Community__A_Deep_Learning_A.pdf,"ing with credit is permitted. To copy otherwise, or republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee. Request permissions from permissions@acm.org. © 2017 Association for Computing Machinery. 2573-0142/2017/11-ART32 $15.00 https://doi.org/10.1145/3134667 Proc. ACM Hum.-Comput. Interact., Vol. 1, No. 2, Article 32. Publication date: November 2017. 32:2 Chunyang Chen, Zhenchang Xing, and Yang Liu Fig. 1. An example of post edit in Stack Overflow answerer) and/or collaboratively edited by some post editors1 (i.e., users other than the post owner). In Stack Overflow, users with 2000+ reputation scores are considered as trusted contributors. Other users are considered as novice contributors. Edits by post owners or trusted contributors will be directly accepted. While Edits by novice contributors will be accepted only if they are approved by three trusted contributors to guarantee the site quality. As of December 11, 2016, 12.3 million posts (i.e., about 37% of all 33.5 million posts) have been edited at least once, and there have been more than 21.8 million accepted post edits2 (see Figure 1 for an example). Studies [21, 24] show that post editing improves the content quality. By analyzing the Stack Overflow’s archival post edits, we find that some post editing involves complex revisions such as adding or removing sentences, code snippets or web resources. But there are also large numbers of post edits which involve small sentence revisions, such as correcting misspellings or grammar errors in a sentence, or changing the word or sentence format according to the website- or domain-specific convention. For example, Figure 1 shows a post edit with corrections of misspellings, grammar errors and formatting. Table 1 lists more examples of different kinds of small sentence edits. Among all 8.5 million post edits annotated with comments in Stack Overflow, 2.1 millions (24.7%)3 of them contain"
25,Reza_Gharibi__Mohammad_Malekzadeh__Gamified_Incentives__A_Badge_Recommendation_Model_to_Improve_User,2017/Reza_Gharibi__Mohammad_Malekzadeh__Gamified_Incentives__A_Badge_Recommendation_Model_to_Improve_User.pdf,"The online social communities employ several techniques to attract more users to their services. One of the essential demand of these communities is to find efficient ways to attract more users and improve their engagement. For this reason, social media sites typically take advantage of gamification systems to improve users’ participation. Among all the gamification services, badges are the most popular feature in online communities which are massively used as a reward system for users. Therefore, the recommendation of relevant unachieved badges to users will have a significant impact on their engagement level; instead of leaving them in the ocean of different actions and badges. In this paper, we develop a badge recommendation model based on item-based collaborative filtering which recommends the next achievable badges to users. The model calculates the correlation between unachieved badges and users’ previously awarded badges. We evaluate our model with the data from Stack Overflow question-answering website to examine if the recommendation model can recommend proper badges in an existing real community. Experimental results show that the model has about 70 per cent true recommendation by just recommending one badge and it has about 80 per cent correct recommendation if it recommends two badges for each user."
26,Chunyang_Chen__Zhenchang_Xing__Ximing_Wang__Unsupervised_Software_Specific_Morphological_Forms_Infer,2017/Chunyang_Chen__Zhenchang_Xing__Ximing_Wang__Unsupervised_Software_Specific_Morphological_Forms_Infer.pdf,"Informal discussions on social platforms (e.g., Stack Overflow) accumulates a large body of programming knowl- edge in natural language text. Natural language process (NLP) techniques can be exploited to harvest this knowledge base for software engineering tasks. To make an effective use of NLP techniques, consistent vocabulary is essential. Unfortunately, the same concepts are often intentionally or accidentally mentioned in many different morphological forms in informal discussions, such as abbreviations, synonyms and misspellings. Existing techniques to deal with such morphological forms are either designed for general English or predominantly rely on domain-specific lexical rules. A thesaurus of software-specific terms and commonly- used morphological forms is desirable for normalizing software engineering text, but very difficult to build manually. In this work, we propose an automatic approach to build such a thesaurus. Our approach identifies software-specific terms by contrasting software-specific and general corpuses, and infers morphological forms of software-specific terms by combining distributed word semantics, domain-specific lexical rules and transformations, and graph analysis of morphological relations. We evaluate the coverage and accuracy of the resulting thesaurus against community-curated lists of software-specific terms, abbreviations and synonyms. We also manually examine the correctness of the identified abbreviations and synonyms in our thesaurus. We demonstrate the usefulness of our thesaurus in a case study of normalizing questions from Stack Overflow and CodeProject."
27,Azad__Shams__Peter_C__Rigby__and_Latifa_Guerrouj__Generating_API_Call_Rules_from_Version_History_and,2017/Azad__Shams__Peter_C__Rigby__and_Latifa_Guerrouj__Generating_API_Call_Rules_from_Version_History_and.pdf,
28,Abdalkareem__Rabe__Emad_Shihab__and_Juergen_Rilling__What_Do_Developers_Use_the_Crowd_For__A_Study_U,2017/Abdalkareem__Rabe__Emad_Shihab__and_Juergen_Rilling__What_Do_Developers_Use_the_Crowd_For__A_Study_U.pdf,"Stack Overflow relies on the crowd to construct quality developer-related knowledge. What developers use the crowd constructed knowledge on Stack Overflow for is an open question. We answer this question, by analyzing 1,414 Stack Overflow related commits and observe that developers use this crowd based knowledge to support development tasks and to collect user feedback. We also studied the helpfulness and delay of Stack Overflow posts by identifying the type of questions that are more likely to be answered by the crowd. We find that devel- opment tools and programming language issues are areas where the crowd is most helpful and that web framework related issues are the most time consuming questions to receive an accepted answer for. Our findings can help developers better understand how to effectively use Stack Overflow as a development support tool, help Stack Overflow designers to improve their platform, and the research community to understand the strengths and weaknesses of Stack Overflow as a development tool. Index Terms—Crowdsourcing, Stack Overflow, Analyzing Commits."
29,Alexey_Zagalsky__Daniel_M__German__Margaret_Anne_Storey__Carlos_G_mez_Teshima__and_Germ_n_Poo_Caama_,2017/Alexey_Zagalsky__Daniel_M__German__Margaret_Anne_Storey__Carlos_G_mez_Teshima__and_Germ_n_Poo_Caama_.pdf,"One of the effects of social media’s prevalence in software development is the many flourishing communities of practice where users share a common interest. These large communities use many different communication channels, but little is known about how they create, share, and curate knowledge using such channels. In this paper, we report a mixed methods study of how one community of practice, the R software development community, creates and curates knowledge associated with questions and answers (Q&A) in two of its main communication channels: the R tag in Stack Overflow and the R-Help mailing list. The results reveal that knowledge is created and curated in two main forms: participatory, where multiple users explicitly collaborate to build knowledge, and crowd- sourced, where individuals primarily work independently of each other. Moreover, we take a unique approach at slicing the data based on question score and participation activities over time. Our study reveals participation patterns, showing the existence of prolific contributors: users who are active across both channels and are responsible for a large proportion of the answers, serving as a bridge of knowledge. The key contributions of this paper are: a char- acterization of knowledge artifacts that are exchanged by this community of practice; the Communicated by: Romain Robbes, Christian Bird, and Emily Hill � Alexey Zagalsky alexeyza@uvic.ca Daniel M. German dmg@uvic.ca Margaret-Anne Storey mstorey@uvic.ca Carlos G´omez Teshima cagomezt@uvic.ca Germ´an Poo-Caama˜no gpoo@uvic.ca 1 University of Victoria, Victoria, BC, Canada Empir Software Eng reasons why users choose one channel over the other; and insights on the community partic- ipation patterns, which indicate an evolution of the community and a shift from knowledge creation to knowledge curation."
30,Chunyang_Chen__Zhenchang_Xing_SimilarTech__Automatically_Recommend_Analogical_Libraries_across_Diffe,2016/Chunyang_Chen__Zhenchang_Xing_SimilarTech__Automatically_Recommend_Analogical_Libraries_across_Diffe.pdf,"Third-party libraries are an integral part of many software projects. It often happens that developers need to find ana- logical libraries that can provide comparable features to the libraries they are already familiar with. Existing methods to find analogical libraries are limited by the community- curated list of libraries, blogs, or Q&A posts, which often contain overwhelming or out-of-date information. This pa- per presents our tool SimilarTech1 that makes it possible to automatically recommend analogical libraries by incorporat- ing tag embeddings and domain-specific relational and cate- gorical knowledge mined from Stack Overflow. SimilarTech currently supports recommendation of 6,715 libraries across 6 different programming languages. We release our Sim- ilarTech website for public use. The SimilarTech web- site attracts more than 2,400 users in the past 6 months. We observe two typical usage patterns of our website in the website visit logs which can satisfy different informa- tion needs of developers. The demo video can be seen at https://youtu.be/ubx8h4D4ieE."
31,Guibin_Chen__Chunyang_Chen__Zhenchang_Xing__and_Bowen_Xu__Learning_a_Dual_Language_Vector_Space_for_,2016/Guibin_Chen__Chunyang_Chen__Zhenchang_Xing__and_Bowen_Xu__Learning_a_Dual_Language_Vector_Space_for_.pdf,"The lingual barrier limits the ability of millions of non- English speaking developers to make effective use of the tremendous knowledge in Stack Overflow, which is archived in English. For cross-lingual question retrieval, one may use translation-based methods that first translate the non- English queries into English and then perform monolingual question retrieval in English. However, translation-based methods suffer from semantic deviation due to inappropri- ate translation, especially for domain-specific terms, and lex- ical gap between queries and questions that share few words in common. To overcome the above issues, we propose a novel cross-lingual question retrieval based on word embed- dings and convolutional neural network (CNN) which are the state-of-the-art deep learning techniques to capture word- and sentence-level semantics. The CNN model is trained with large amounts of examples from Stack Overflow dupli- cate questions and their corresponding translation by ma- chine, which guides the CNN to learn to capture informa- tive word and sentence features to recognize and quantify semantic similarity in the presence of semantic deviations and lexical gaps. A uniqueness of our approach is that the trained CNN can map documents in two languages (e.g., Chinese queries and English questions) in a dual-language vector space, and thus reduce the cross-lingual question re- trieval problem to a simple k-nearest neighbors search prob- lem in the dual-language vector space, where no query or question translation is required. Our evaluation shows that our approach significantly outperforms the translation-based method, and can be extended to dual-language documents retrieval from different sources."
32,Srba__Ivan__Promoting_Sustainability_and_Transferability_of_Community_Question_Answering__Informatio,2016/Srba__Ivan__Promoting_Sustainability_and_Transferability_of_Community_Question_Answering__Informatio.pdf,"Community Question Answering (CQA) provides people with a possibility to ask various questions and, at the same time, provide answers on questions of other users (e.g. Yahoo! Answers). Our thesis concerns with two open emerging problems closely related to the CQA con- cept: (1) a long-term sustainability of CQA ecosystems, and (2) their transferability to educational and organiza- tional environments. At first, we conducted a case study on recent negative development of Stack Overflow’s community which is re- flected in increasing amount of low-quality content cre- ated by undesired groups of users. Consequently, we sug- gested to preserve a long-term sustainability of CQA com- munities by means of robust reputation mechanisms and answerer-oriented adaptive support methods that in addi- tion involve the whole community. We put these sugges- tions into practice by means of two novel methods: (1) for reputation calculation focused on quality of users’ contri- butions, and (2) for recommendation of new questions to potential answerers with utilization of non-QA data. Our main contribution to the second open problem lies"
33,Chunyang_Chen__Zhenchang_Xing__Lei_Han__TechLand__Assisting_Technology_Landscape_Inquiries_with_Insi,2016/Chunyang_Chen__Zhenchang_Xing__Lei_Han__TechLand__Assisting_Technology_Landscape_Inquiries_with_Insi.pdf,"Understanding the technology landscape is crucial for the success of the software-engineering project or organiza- tion. However, it can be difficult, even for experienced developers, due to the proliferation of similar technologies, the complex and often implicit dependencies among technologies, and the rapid development in which technology landscape evolves. Developers currently rely on online documents such as tutorials and blogs to find out best available technologies, technology correlations, and technology trends. Although helpful, online documents often lack objective, consistent summary of the technology landscape. In this paper, we present the TechLand system for assisting technology landscape inquiries with categorical, relational and trending knowledge of technologies that is aggregated from millions of Stack Overflow questions mentioning the relevant technologies. We implement the TechLand system and evaluate the usefulness of the system against the community answers to 100 technology questions on Stack Overflow and by field deployment and a lab study. Our evaluation shows that the TechLand system can assist developers in technology landscape inquiries by providing direct, objective, and aggregated information about available technologies, technology correlations and technology trends."
34,Chunyang_Chen__Sa_Gao__Zhenchang_Xing__Mining_Analogical_Libraries_in_Q_A_Discussions___Incorporatin,2016/Chunyang_Chen__Sa_Gao__Zhenchang_Xing__Mining_Analogical_Libraries_in_Q_A_Discussions___Incorporatin.pdf,"Third-party libraries are an integral part of many software projects. It often happens that developers need to find analogical libraries that can provide comparable features to the libraries they are already familiar with. Existing methods to find analogical libraries are limited by the community-curated list of libraries, blogs, or Q&A posts, which often contain overwhelming or out-of-date information. In this paper, we present a new approach to recommend analogical libraries based on a knowledge base of analogical libraries mined from tags of millions of Stack Overflow questions. The novelty of our approach is to solve analogical-libraries questions by combining state-of-the-art word embedding technique and domain-specific relational and categorical knowledge mined from Stack Over- flow. We implement our approach in a proof-of-concept web application (https://graphofknowledge.appspot.com/similartech). The evaluation results show that our approach can make accu- rate recommendation of analogical libraries (Precision@1=0.81 and Precision@5=0.67). Google Analytics of the website traffic provides initial evidence of the potential usefulness of our web application for software developers."
35,Chunyang_Chen__Zhenchang_Xing__Towards_Correlating_Search_on_Google_and_Asking_on_Stack_Overflow__Th,2016/Chunyang_Chen__Zhenchang_Xing__Towards_Correlating_Search_on_Google_and_Asking_on_Stack_Overflow__Th.pdf,"Search engines and Question and Answer (Q&A) sites are the two commonly used ways for developers to seek information on the web. In this paper, we ask whether the questions developers ask on Q&A sites correlate with the infor- mation developers search for using search engines. We report on our empirical study to investigate the correlations of the 185 popular technical terms developers search on Google and ask on Stack Overflow using search statistics obtained from Google Trends over a 574-weeks span and question statistics derived from Stack Overflow Data Dump over a 300-weeks span. Our study shows that technical terms searched and asked have strong correlation over time. Search and asking of newer, specific technical terms have stronger correlation, compared with older, general technical terms. We have developed a web interface for accessing our dataset and empirical results available at http://comparetrend.appspot.com/. Inspired by our empirical results, we present future directions that can harness Stack Overflow as sampled data for supporting time-aware search and semantic search."
36,Chunyang_Chen__Zhenchang_Xing__Mining_Technology_Landscape_from_Stack_Overflow__The_10th_ACM_IEEE_In,2016/Chunyang_Chen__Zhenchang_Xing__Mining_Technology_Landscape_from_Stack_Overflow__The_10th_ACM_IEEE_In.pdf,"The sheer number of available technologies and the complex relationships among them make it challenging to choose the right technologies for software projects. Developers often turn to online resources (e.g., expert articles and community answers) to get a good understanding of the technology landscape. Such online resources are primarily opinion- based and are often out of date. Furthermore, information is often scattered in many online resources, which has to be aggregated to have a big picture of the technology landscape. In this paper, we exploit the fact that Stack Overflow users tag their questions with the main technologies that the questions revolve around, and develop association rule mining and community detection techniques to mine technology landscape from Stack Overflow question tags. The mined technology landscape is represented in a graphical Technology Associative Network (TAN). Our empirical study shows that the mined TAN captures a wide range of technologies, the complex relationships among the technologies, and the trend of the technologies in the developers’ discussions on Stack Overflow. We develop a website (https://graphofknowledge. appspot.com/) for the community to access and evaluate the mined technology landscape. The website visit statistics by Google Analytics shows the developers’ general interests in our technology landscape service. We also report a small- scale user study to evaluate the potential usefulness of our tool. Categories and Subject Descriptors I.2.4 [ARTIFICIAL INTELLIGENCE]: Knowledge Rep- resentation Formalisms and Methods"
37,Deheng_Ye__Zhenchang_Xing__Chee_Yong_Foo__Jing_Li__and_Nachiket_Kapre__Learning_to_Extract_API_Menti,2016/Deheng_Ye__Zhenchang_Xing__Chee_Yong_Foo__Jing_Li__and_Nachiket_Kapre__Learning_to_Extract_API_Menti.pdf,"When discussing programming issues on social plat- forms (e.g, Stack Overflow, Twitter), developers often mention APIs in natural language texts. Extracting API mentions in natural language texts is a prerequisite for effective indexing and searching for API-related information in software engineering social content. However, the informal nature of social discussions creates two fundamental challenges for API extraction: common- word polysemy and sentence-format variations. Common-word polysemy refers to the ambiguity between the API sense of a common word and the normal sense of the word (e.g., append, apply and merge). Sentence-format variations refer to the lack of consistent sentence writing format for inferring API mentions. Existing API extraction techniques fall short to address these two challenges, because they assume distinct API naming conventions (e.g., camel case, underscore) or structured sentence format (e.g., code-like phrase, API annotation, or full API name). In this paper, we propose a semi-supervised machine-learning approach that exploits name synonyms and rich semantic context of API mentions to extract API mentions in informal social text. The key innovation of our approach is to exploit two complementary unsupervised language models learned from the abundant un- labeled text to model sentence-format variations and to train a robust model with a small set of labeled data and an iterative self-training process. The evaluation of 1,205 API mentions of the three libraries (Pandas, Numpy, and Matplotlib) in Stack Overflow texts shows that our approach significantly outperforms existing API extraction techniques based on language-convention and sentence-format heuristics and our earlier machine-learning based method for named-entity recognition."
38,Deheng_Ye__Zhenchang_Xing__and_Nachiket_Kapre__The_Structure_and_Dynamics_of_Knowledge_Network_in_Do,2016/Deheng_Ye__Zhenchang_Xing__and_Nachiket_Kapre__The_Structure_and_Dynamics_of_Knowledge_Network_in_Do.pdf,"Programming-specific Q&A sites (e.g., Stack Overflow) are being used ex- tensively by software developers for knowledge sharing and acquisition. Due to the cross-reference of questions and answers (referred to as internal URL sharing in this article 1), knowledge is diffused in the Q&A site, forming a large knowledge network. In Stack Overflow, why do developers share URLs? How is the community feedback to the knowledge being shared? What are the unique topological and semantic prop- erties of the resulting knowledge network in Stack Overflow? Has this knowledge network become stable? If so, how does it reach to stability? Answering these ques- tions can help the software engineering community better understand the knowledge diffusion process in programming-specific Q&A sites like Stack Overflow, thereby enabling more effective knowledge sharing, knowledge use, and knowledge repre- sentation and search in the community. Previous work has focused on analyzing user activities in Q&A sites or mining the textual content of these sites. In this article, we present a methodology to analyze URL sharing activities in Stack Overflow. We use open coding method to analyze why users share URLs in Stack Overflow, and develop a set of quantitative analysis methods to study the structural and dynamic properties of the emergent knowledge network in Stack Overflow. We also identify system designs, community norms, and social behavior theories that help explain our empirical findings. Through this study, we obtain an in-depth understanding of the knowledge diffusion process in Stack Overflow and expose the implications of URL Deheng Ye · Zhenchang Xing · Nachiket Kapre School of Computer Engineering, Nanyang Technological University, Singapore E-mail: ye0014ng@e.ntu.edu.sg Zhenchang Xing E-mail: zcxing@ntu.edu.sg Nachiket Kapre E-mail: nachiket@ntu.edu.sg 1 Users may also reference URLs external to the Q&A site. In this paper, URL sharing refers to internal URLs within the Q&A site, unless otherwise stated. 2 Deheng Ye et al. sharing behavior for Q&A site design, developers who use crowdsourced knowledge in Stack Overflow, and future research on knowledge representation and search."
39,Deheng_Ye__Zhenchang_Xing__Chee_Yong_Foo__Zi_Qun_Ang__Jing_Li__and_Nachiket_Kapre__Software_specific,2016/Deheng_Ye__Zhenchang_Xing__Chee_Yong_Foo__Zi_Qun_Ang__Jing_Li__and_Nachiket_Kapre__Software_specific.pdf,"Software engineering social content, such as Q&A discussions on Stack Overflow, has become a wealth of infor- mation on software engineering. This textual content is centered around software-specific entities, and their usage patterns, issues- solutions, and alternatives. However, existing approaches to an- alyzing software engineering texts treat software-specific entities in the same way as other content, and thus cannot support the recent advance of entity-centric applications, such as direct answers and knowledge graph. The first step towards enabling these entity-centric applications for software engineering is to recognize and classify software-specific entities, which is referred to as Named Entity Recognition (NER) in the literature. Existing NER methods are designed for recognizing person, location and organization in formal and social texts, which are not applicable to NER in software engineering. Existing information extraction methods for software engineering are limited to API identification and linking of a particular programming language. In this paper, we formulate the research problem of NER in software engineering. We identify the challenges in designing a software- specific NER system and propose a machine learning based approach applied on software engineering social content. Our NER system, called S-NER, is general for software engineering in that it can recognize a broad category of software entities for a wide range of popular programming languages, platform, and library. We conduct systematic experiments to evaluate our machine learning based S-NER against a well-designed rule- based baseline system, and to study the effectiveness of widely- adopted NER techniques and features in the face of the unique characteristics of software engineering social content."
40,Deheng_Ye__Zhenchang_Xing__Jing_Li__and_Nachiket_Kapre__Software_specific_Part_of_speech_Tagging__An,2016/Deheng_Ye__Zhenchang_Xing__Jing_Li__and_Nachiket_Kapre__Software_specific_Part_of_speech_Tagging__An.pdf,"Part-of-speech (POS) tagging performance degrades on out- of-domain data due to the lack of domain knowledge. Soft- ware engineering knowledge, embodied in textual documen- tations, bug reports and online forum discussions, is ex- pressed in natural language, but is full of domain terms, software entities and software-specific informal languages. Such software texts call for software-specific POS tagging. In the software engineering community, there have been sev- eral attempts leveraging POS tagging technique to help solve software engineering tasks. However, little work is done for POS tagging on software natural language texts. In this paper, we build a software-specific POS tagger, called S-POS, for processing the textual discussions on Stack Over- flow. We target at Stack Overflow because it has become an important developer-generated knowledge repository for software engineering. We define a POS tagset that is suit- able for describing software engineering knowledge, select corpus, develop a custom tokenizer, annotate data, design features for supervised model training, and demonstrate that the tagging accuracy of S-POS outperforms that of the Stan- ford POS Tagger when tagging software texts. Our work presents a feasible roadmap to build software-specific POS tagger for the socio-professional contents on Stack Over- flow, and reveals challenges and opportunities for advanced software-specific information extraction."
41,Christoph_Treude__Martin_P__Robillard__Augmenting_API_Documentation_with_Insights_from_Stack_Overflo,2016/Christoph_Treude__Martin_P__Robillard__Augmenting_API_Documentation_with_Insights_from_Stack_Overflo.pdf,"Software developers need access to different kinds of infor- mation which is often dispersed among different documenta- tion sources, such as API documentation or Stack Overflow. We present an approach to automatically augment API doc- umentation with “insight sentences” from Stack Overflow— sentences that are related to a particular API type and that provide insight not contained in the API documentation of that type. Based on a development set of 1,574 sentences, we compare the performance of two state-of-the-art summa- rization techniques as well as a pattern-based approach for insight sentence extraction. We then present SISE, a novel machine learning based approach that uses as features the sentences themselves, their formatting, their question, their answer, and their authors as well as part-of-speech tags and the similarity of a sentence to the corresponding API docu- mentation. With SISE, we were able to achieve a precision of 0.64 and a coverage of 0.7 on the development set. In a comparative study with eight software developers, we found that SISE resulted in the highest number of sentences that were considered to add useful information not found in the API documentation. These results indicate that taking into account the meta data available on Stack Overflow as well as part-of-speech tags can significantly improve unsupervised extraction approaches when applied to Stack Overflow data."
42,Alexey_Zagalsky__Carlos_G_mez_Teshima__Daniel_M__German__Margaret_Anne_Storey__and_Germ_n_Poo_Caama_,2016/Alexey_Zagalsky__Carlos_G_mez_Teshima__Daniel_M__German__Margaret_Anne_Storey__and_Germ_n_Poo_Caama_.pdf,"One of the many effects of social media in software development is the flourishing of very large communities of practice where members share a common interest, such as programming lan- guages, frameworks, and tools. These communities of practice use many different communication channels but little is known about how these communities create, share, and curate knowledge us- ing such channels. In this paper, we report a qualitative study of how one community of practice—the R software development community—creates and curates knowledge associated with ques- tions and answers (Q&A) in two of its main communication chan- nels: the R-tag in Stack Overflow and the R-users mailing list. The results reveal that knowledge is created and curated in two main forms: participatory, where multiple members explicitly collabo- rate to build knowledge, and crowdsourced, where individuals work independently of each other. The contribution of this paper is a characterization of knowledge types that are exchanged by these communities of practice, including a description of the reasons why members choose one channel over the other. Finally, this paper enumerates a set of recommendations to assist practitioners in the use of multiple channels for Q&A."
43,Sharma__Abhishek__Yuan_Tian__and_David_Lo__Nirmal__Automatic_identification_of_software_relevant_twe,2015/Sharma__Abhishek__Yuan_Tian__and_David_Lo__Nirmal__Automatic_identification_of_software_relevant_twe.pdf,
44,Joshua_Sunshine__James_D__Herbsleb__and_Jonathan_Aldrich__Searching_the_State_Space__A_Qualitative_S,2015/Joshua_Sunshine__James_D__Herbsleb__and_Jonathan_Aldrich__Searching_the_State_Space__A_Qualitative_S.pdf,"Application Programming Interfaces (APIs) often define protocols — restrictions on the order of client calls to API methods. API protocols are common and difficult to use, which has generated tremendous research effort in alternative specification, implementation, and verification techniques. How- ever, little is understood about the barriers programmers face when using these APIs, and therefore the research effort may be misdirected. To understand these barriers better, we perform a two- part qualitative study. First, we study developer forums to identify problems that developers have with protocols. Second, we perform a think-aloud observational study, in which we systematically observe professional programmers struggle with these same problems to get more detail on the nature of their struggles and how they use available resources. In our observations, programmer time was spent primarily on four types of searches of the protocol state space. These observations suggest protocol-targeted tools, languages, and verification techniques will be most effective if they enable programmers to efficiently perform state search."
45,Christoffer_Rosen__Emad_Shihab__2015__What_are_mobile_developers_asking_about__A_large_scale_study_u,2015/Christoffer_Rosen__Emad_Shihab__2015__What_are_mobile_developers_asking_about__A_large_scale_study_u.pdf,
46,Lei_Xu__Tingting_Nian__Lu_s_Cabral__What_Makes_Geeks_Tick__A_Study_of_Stack_Overflow_Careers_,2014/Lei_Xu__Tingting_Nian__Lu_s_Cabral__What_Makes_Geeks_Tick__A_Study_of_Stack_Overflow_Careers_.pdf,"Many online platforms rely on users to voluntarily provide content. What motivates users to con- tribute content for free however is not well understood. In this paper, we use a revealed preference approach to show that career concerns play an important role in user contributions to Stack Overflow, the largest online Q&A community. We investigate how activities that can enhance a user’s reputation vary before and after the user finds a new job. We contrast this with activities that do not improve a user’s reputation. After finding a new job, users contribute 23.7% less in reputation-generating activity. By con- trast, they reduce their non-reputation-generating activity by only 7.4% after finding a new job. These findings suggest that users contribute to Stack Overflow in part because they perceive this as a way to improve future employment prospects. We provide direct evidence against alternative explanations such as integer constraints, skills mismatch, and dynamic selection effects. JEL Classification Numbers: H41, D82, D83, J24, J22, M51, L86"
47,Siddharth_Subramanian__Laura_Inozemtseva__and_Reid_Holmes__2014__Live_API_Documentation_In_36th_Inte,2014/Siddharth_Subramanian__Laura_Inozemtseva__and_Reid_Holmes__2014__Live_API_Documentation_In_36th_Inte.pdf,"Application Programming Interfaces (APIs) provide power- ful abstraction mechanisms that enable complex functional- ity to be used by client programs. However, this abstraction does not come for free: understanding how to use an API can be difficult. While API documentation can help, it is often insufficient on its own. Online sites like Stack Overflow and Github Gists have grown to fill the gap between traditional API documentation and more example-based resources. Un- fortunately, these two important classes of documentation are independent. In this paper we describe an iterative, deductive method of linking source code examples to API documentation. We also present an implementation of this method, called Baker, that is highly precise (0.97) and supports both Java and JavaScript. Baker can be used to enhance traditional API documentation with up-to-date source code examples; it can also be used to incorporate links to the API documentation into the code snippets that use the API. Categories and Subject Descriptors D.2.6 [Software Engineering]: Programming Environments General Terms Languages, Experimentation"
48,Luca_Ponzanelli__Gabriele_Bavota__Massimiliano_Di_Penta__Rocco_Oliveto__Michele_Lanza__2014__Prompte,2014/Luca_Ponzanelli__Gabriele_Bavota__Massimiliano_Di_Penta__Rocco_Oliveto__Michele_Lanza__2014__Prompte.pdf,"Developers often consult different sources of infor- mation like Application Programming Interfaces (API) documen- tation, forums, Q&A websites, etc. with the aim of gathering additional knowledge for the programming task at hand. The process of searching and identifying valuable pieces of informa- tion requires developers to spend time and energy in formulating the right queries, assessing the returned results, and integrating the obtained knowledge into the code base. All of this is often done manually. We present Prompter, a plug-in for the Eclipse IDE which automatically searches and identifies relevant Stack Overflow dis- cussions, evaluates their relevance given the code context in the IDE, and notifies the developer if and only if a user-defined confidence threshold is surpassed."
49,Shaowei_Wang__David_Lo__Bogdan_Vasilescu__and_Alexander_Serebrenik__2014__EnTagRec__An_Enhanced_Tag_,2014/Shaowei_Wang__David_Lo__Bogdan_Vasilescu__and_Alexander_Serebrenik__2014__EnTagRec__An_Enhanced_Tag_.pdf,
50,Bogdan_Vasilescu__Alexander_Serebrenik__Prem_Devanbu_and_Vladimir_Filkov__2014__How_social_Q_A_sites,2014/Bogdan_Vasilescu__Alexander_Serebrenik__Prem_Devanbu_and_Vladimir_Filkov__2014__How_social_Q_A_sites.pdf,
51,Megan_Squire_and_Christian_Funkhouser__2014___A_Bit_of_Code___How_the_Stack_Overflow_Community_Creat,2014/Megan_Squire_and_Christian_Funkhouser__2014___A_Bit_of_Code___How_the_Stack_Overflow_Community_Creat.pdf,
52,Yla_Tausczik__Aniket_Kittur_and_Robert_Kraut__2014__Collaborative_problem_solving__A_study_of_Math_O,2014/Yla_Tausczik__Aniket_Kittur_and_Robert_Kraut__2014__Collaborative_problem_solving__A_study_of_Math_O.pdf,"The Internet has the potential to accelerate scientific problem solving by engaging a global pool of contributors. Existing approaches focus on broadcasting problems to many independent solvers. We investigate whether other approaches may be advantageous by examining a community for mathematical problem solving – MathOverflow -- in which contributors communicate and collaborate to solve new mathematical “micro-problems” online. We contribute a simple taxonomy of collaborative acts derived from a process-level examination of collaborations and a quantitative analysis relating collaborative acts to solution quality. Our results indicate a diversity of ways in which mathematicians are reaching a solution, including by iteratively advancing a solution. A better understanding of such collaborative strategies can inform the design of tools to support distributed collaboration on complex problems. Author"
53,Dana_Movshovitz_Attias_and_William_Cohen__2013__Natural_Language_Models_for_Predicting_Programming_C,2013/Dana_Movshovitz_Attias_and_William_Cohen__2013__Natural_Language_Models_for_Predicting_Programming_C.pdf,"Statistical language models have success- fully been used to describe and analyze natural language documents. Recent work applying language models to program- ming languages is focused on the task of predicting code, while mainly ignoring the prediction of programmer comments. In this work, we predict comments from JAVA source files of open source projects, using topic models and n-grams, and we analyze the performance of the models given varying amounts of background data on the project being predicted. We evalu- ate models on their comment-completion capability in a setting similar to code- completion tools built into standard code editors, and show that using a comment completion tool can save up to 47% of the comment typing."
54,Galina_E__Lezina__Artem_M__Kuznetsov__2013__Predict_Closed_Questions_on_StackOver_ow_In_Proceedings_,2013/Galina_E__Lezina__Artem_M__Kuznetsov__2013__Predict_Closed_Questions_on_StackOver_ow_In_Proceedings_.pdf,"Millions of programmers use StackOverflow to get high quality answers to their program- ming questions every day. There has evolved an effective culture of moderation to safe-guard it. More than six thousand new questions is asked on StackOverflow1 every weekday. Currently about 6% of all new questions end up ”closed”. The goal of this paper is to build a classifier that predicts whether or not a question will be closed given the question as submitted, along with the reason that the question was closed."
